pair_id,architecture,reference_path,search_path,metadata_path,true_x,true_y,scale_ratio,rotation_deg,noise_severity,seed,pred_x,pred_y,euclidean_error_px,confidence,runtime_sec,pass_5px,pass_4px,pass_2px,pass_1px,pass_subpixel
pair_001,DRAM,results/dataset\pair_001_ref.png,results/dataset\pair_001_search.png,results/dataset\pair_001_meta.json,389.0,486.0,9.25,-1.0,0.75,1001,507.5,488.062,118.5179,0.9537,2.01034,0,0,0,0,0
pair_002,FinFET,results/dataset\pair_002_ref.png,results/dataset\pair_002_search.png,results/dataset\pair_002_meta.json,303.0,649.0,9.5,0.0,1.0,1002,500.8226,509.0,242.3506,0.8938,1.92366,0,0,0,0,0
pair_003,DRAM,results/dataset\pair_003_ref.png,results/dataset\pair_003_search.png,results/dataset\pair_003_meta.json,485.0,549.0,9.75,1.0,1.25,1003,481.8035,489.0,60.0851,0.9258,1.87454,0,0,0,0,0
pair_004,FinFET,results/dataset\pair_004_ref.png,results/dataset\pair_004_search.png,results/dataset\pair_004_meta.json,202.0,723.0,10.0,2.0,1.5,1004,466.5864,503.579,343.7319,0.8526,1.94598,0,0,0,0,0
pair_005,DRAM,results/dataset\pair_005_ref.png,results/dataset\pair_005_search.png,results/dataset\pair_005_meta.json,491.0,475.0,10.25,-2.0,0.5,1005,489.8706,474.9947,1.1294,0.9657,1.75357,1,1,1,0,0
pair_006,FinFET,results/dataset\pair_006_ref.png,results/dataset\pair_006_search.png,results/dataset\pair_006_meta.json,292.0,345.0,10.5,-1.0,0.75,1006,537.9579,489.4676,285.2475,0.9181,1.72008,0,0,0,0,0
pair_007,DRAM,results/dataset\pair_007_ref.png,results/dataset\pair_007_search.png,results/dataset\pair_007_meta.json,730.0,703.0,10.75,0.0,1.0,1007,488.0,522.9588,301.627,0.9338,1.88114,0,0,0,0,0
pair_008,FinFET,results/dataset\pair_008_ref.png,results/dataset\pair_008_search.png,results/dataset\pair_008_meta.json,480.0,305.0,11.0,1.0,1.25,1008,507.4888,584.4247,280.7736,0.8915,1.90665,0,0,0,0,0
pair_009,DRAM,results/dataset\pair_009_ref.png,results/dataset\pair_009_search.png,results/dataset\pair_009_meta.json,287.0,208.0,9.0,2.0,1.5,1009,494.6144,500.9082,359.025,0.9195,1.86703,0,0,0,0,0
pair_010,FinFET,results/dataset\pair_010_ref.png,results/dataset\pair_010_search.png,results/dataset\pair_010_meta.json,748.0,402.0,9.25,-2.0,0.5,1010,492.0132,533.1562,287.6303,0.9513,2.16801,0,0,0,0,0
pair_011,DRAM,results/dataset\pair_011_ref.png,results/dataset\pair_011_search.png,results/dataset\pair_011_meta.json,790.0,508.0,9.5,-1.0,0.75,1011,508.5696,503.0,281.4748,0.9549,1.70292,0,0,0,0,0
